seq,t_offset_s,query_type,params,status,source,latency_ms,error
96,49.90856659400015,Q2,"{""team"": ""ohiggins""}",200,scraper,18107.851794999988,
97,50.43716888200015,Q2,"{""team"": ""palestino""}",200,cache,7.945442999698571,
98,51.35307155600003,Q1,"{""team"": ""audax""}",200,cache,3.0081350005275453,
99,51.603533403000256,Q1,"{""team"": ""udechile""}",200,cache,4.069597999659891,
100,51.6659228059998,Q3,"{""team_a"": ""coquimbo"", ""team_b"": ""udeconce""}",200,scraper,16607.98864499975,
101,51.68599230600012,Q3,"{""team_a"": ""colocolo"", ""team_b"": ""udechile""}",200,cache,3.735651000170037,
102,51.85411668100005,Q1,"{""team"": ""colocolo""}",200,cache,3.157869999995455,
103,52.07191296600013,Q2,"{""team"": ""colocolo""}",200,cache,4.121308000321733,
104,52.114404091000324,Q5,{},200,cache,4.796663999513839,
105,52.806100355000126,Q1,"{""team"": ""audax""}",200,cache,4.834379999920202,
106,53.280162142000336,Q2,"{""team"": ""cobresal""}",200,cache,4.9738589996195515,
107,53.36947835899991,Q2,"{""team"": ""limache""}",200,cache,4.743786999824806,
108,53.45863275100055,Q5,{},200,cache,4.826612000215391,
109,55.10677064900028,Q5,{},200,cache,4.659384000660793,
110,55.92598509700019,Q3,"{""team_a"": ""coquimbo"", ""team_b"": ""nublense""}",200,cache,4.7483190001003095,
111,57.606656961000226,Q5,{},200,cache,4.398088999550964,
112,57.630339493000065,Q5,{},200,cache,5.870187999789778,
113,58.14601427700018,Q1,"{""team"": ""udeconce""}",200,cache,4.6831560002829065,
114,60.06656103200021,Q4,"{""date_from"": ""2026-06-21"", ""date_to"": ""2026-06-27""}",200,cache,5.371903999730421,
115,60.81792545799999,Q2,"{""team"": ""palestino""}",200,cache,6.596139000066614,
116,61.90191457000037,Q5,{},200,cache,4.785358999470191,
117,61.99706614600018,Q1,"{""team"": ""udeconce""}",200,cache,5.081673999484337,
118,62.3707615809999,Q1,"{""team"": ""laserena""}",200,scraper,8817.850414000532,
119,63.30150306900032,Q5,{},200,cache,3.6218779996488593,
120,63.631451776000176,Q1,"{""team"": ""depconce""}",200,cache,4.169335999904433,
121,63.780957808000494,Q1,"{""team"": ""palestino""}",200,scraper,7620.730636000189,
122,64.72111392199986,Q1,"{""team"": ""nublense""}",200,cache,5.547160999412881,
123,66.00814008500038,Q2,"{""team"": ""audax""}",200,cache,7.670502000109991,
124,66.04823527600001,Q5,{},200,cache,4.815392000637075,
125,66.71075662800013,Q1,"{""team"": ""udeconce""}",200,cache,5.013633000089612,
126,67.16742635100036,Q1,"{""team"": ""udechile""}",200,cache,4.069764999258041,
127,67.29282692600009,Q5,{},200,cache,6.490542000392452,
128,67.9107994140004,Q5,{},200,cache,4.952271000547626,
129,68.6614828820002,Q5,{},200,cache,4.052870000123221,
130,68.67684275200008,Q1,"{""team"": ""cobresal""}",200,cache,4.199791000246478,
131,68.6882923660005,Q3,"{""team_a"": ""ohiggins"", ""team_b"": ""ulacalera""}",200,scraper,3064.0613290006513,
132,69.46590670400019,Q2,"{""team"": ""colocolo""}",200,cache,3.998074999799428,
133,69.64937060500051,Q1,"{""team"": ""udechile""}",200,cache,4.092662999937602,
134,69.96727599400037,Q5,{},200,cache,3.85715100037487,
